Вопрос;Категория
При подаче заявки на регистрацию компании возникает ошибка «Не заполнены поля «Банковский идентификационный код» и «Расчетный счет»;Технические вопросы и настройки
Перевод страницы Портала поставщиков на иностранный язык.;Технические вопросы и настройки
Архивирование оферты;Технические вопросы и настройки
Как указать срок доставки в файле YML?;Технические вопросы и настройки
Как указать единицу измерения, если её нет в списке?;Технические вопросы и настройки
Как массово загрузить оферты?;Технические вопросы и настройки
Способы создания оферт и СТЕ;Технические вопросы и настройки
Заявка СТЕ утверждена, оферта отсутствует в 'Управление офертами';Технические вопросы и настройки
Нет нужной категории продукции на Портале Поставщиков;Технические вопросы и настройки
В оферте отображается КПГЗ отличный от СТЕ;Технические вопросы и настройки
Не получается редактировать оферту, созданную по результатам котировочной сессии;Технические вопросы и настройки
Отсутствует кнопка 'Опубликовать предложение';Технические вопросы и настройки
В оферте отсутствует ОКПД2;Технические вопросы и настройки
Как поменять ОКПД2 в оферте?;Технические вопросы и настройки
Как скопировать оферту?;Технические вопросы и настройки
Нет кнопки 'Прикрепить файл' в оферте;Технические вопросы и настройки
Не можем создать оферту, нет кнопки;Технические вопросы и настройки
Заявка на регистрацию компании/ изменение данных компании находится в статусе «Черновик».;Технические вопросы и настройки
Заявка на регистрацию компании/ изменение данных компании находится в статусе «Требуется уточнение».;Технические вопросы и настройки
Заявка на регистрацию регионального заказчика на Портале поставщиков рассматривается более суток.;Технические вопросы и настройки
Несколько услуг по одной оферте, комплексная оферта;Технические вопросы и настройки
При создании СТЕ отсутствует поле 'Описание';Технические вопросы и настройки
При создании СТЕ в поле 'Регион поставки' не отображается нужный город/населенный пункт;Технические вопросы и настройки
Заявка в статусе 'Редактирование', сколько ждать рассмотрения заявки;Технические вопросы и настройки
Как изменить ФЗ (закон-основание) в оферте?;Технические вопросы и настройки
Где взять артикул;Технические вопросы и настройки
Заказчик не видит оферту, созданную по результатам КС;Технические вопросы и настройки
Как указать НДС, если мы работаем без НДС;Технические вопросы и настройки
Сколько оферт можно подписать за один раз;Технические вопросы и настройки
Возможно ли массовое подписание оферт на Портале Поставщиков?;Технические вопросы и настройки
Как вернуть оферту из архива?;Технические вопросы и настройки
СТЕ подтверждена, а у оферты номер не появился;Технические вопросы и настройки
Как ознакомиться со статистикой региона профиле Уполномоченного органа?;Технические вопросы и настройки
Как утвердить заявку на регистрацию организации в качестве заказчика на Портале поставщиков в профиле Уполномоченного органа?;Технические вопросы и настройки
Как отклонить заявку на регистрацию организации в качестве заказчика на Портале поставщиков в профиле Уполномоченного органа?;Технические вопросы и настройки
Как создать карточку новой компании на Портале поставщиков в профиле Уполномоченного органа?;Технические вопросы и настройки
Как создать карточку нового пользователя на Портале поставщиков в профиле Уполномоченного органа?;Технические вопросы и настройки
Как заблокировать компанию на Портале поставщиков в профиле Уполномоченного органа?;Технические вопросы и настройки
Как разблокировать компанию на Портале поставщиков в профиле Уполномоченного органа?;Технические вопросы и настройки
Как посмотреть историю блокировок компании на Портале поставщиков в профиле Уполномоченного органа?;Технические вопросы и настройки
Как заблокировать пользователя компании на Портале поставщиков в профиле Уполномоченного органа?;Технические вопросы и настройки
Как разблокировать пользователя компании на Портале поставщиков в профиле Уполномоченного органа?;Технические вопросы и настройки
Как посмотреть историю блокировок пользователя компании на Портале поставщиков в профиле Уполномоченного органа?;Технические вопросы и настройки
Как объединить профили организации?;Технические вопросы и настройки
Контракт подписан, но в региональной системе его не видно.;Технические вопросы и настройки
В нашей оферте отображается, что по ней заключены контракты, но у нас контрактов нет;Технические вопросы и настройки
Не могу редактировать оферту по КС;Технические вопросы и настройки
Отображение оферты по результатам котировочной сессии для Заказчика;Технические вопросы и настройки
Как войти на Портал поставщиков после смены владельца сертификата электронной подписи?;Технические вопросы и настройки
Не могу скачать документ контракта/не могу скачать документ контракта с подписью.;Технические вопросы и настройки
Как изменить тип компании?;Технические вопросы и настройки
Как прикрепить электронную подпись?;Технические вопросы и настройки
Массовое архивирование оферт;Технические вопросы и настройки
Заказчику не приходит УПД;Технические вопросы и настройки
Просмотр и выгрузка документов контракта;Технические вопросы и настройки
Наименования товара в исполнении контракта не соответствуют наименованиям в котировочной сессии;Технические вопросы и настройки
Не добавляется исполнение;Технические вопросы и настройки
Необходимые действия при сбое в работе Подсистемы;Технические вопросы и настройки
Несанкционированное вмешательство в Подсистему;Технические вопросы и настройки
Создание оферты;Технические вопросы и настройки
Обновление прайс-листов;Технические вопросы и настройки
Формирование протокола разногласий;Технические вопросы и настройки
Автоматическая блокировка поставщиков. Сроки и основания;Технические вопросы и настройки
Регистрация жалобы Арбитражной комиссией;Технические вопросы и настройки
Публикация котировочной сессии;Технические вопросы и настройки
Отмена и удаление закупки по потребности;Технические вопросы и настройки
Настройка MS Word перед работой;Технические вопросы и настройки
Завершение котировочной сессии;Технические вопросы и настройки
Удаление поданного предложения;Технические вопросы и настройки
Отправка ответа по заявке на прямую закупку;Технические вопросы и настройки
Подключение электронной подписи;Технические вопросы и настройки
Подтверждение уведомления о регистрации исполнения в ЭДО;Технические вопросы и настройки
Работа с задачами;Технические вопросы и настройки
Работа с уведомлениями;Технические вопросы и настройки
Формирование XSD-схемы;Технические вопросы и настройки
Загрузка прайс-листа в Портал поставщиков;Технические вопросы и настройки
Публикация шаблона;Технические вопросы и настройки
Редактирование шаблона, удаление шаблона;Технические вопросы и настройки
Настройка MS Word перед работой;Технические вопросы и настройки
Поиск шаблонов;Технические вопросы и настройки
Новая версия опубликованного шаблона;Технические вопросы и настройки
Отправка шаблона в архив;Технические вопросы и настройки
Создание нового шаблона;Технические вопросы и настройки
Поиск шаблонов;Технические вопросы и настройки
Загрузка документа;Технические вопросы и настройки
Подготовка шаблона документа;Технические вопросы и настройки
Подготовка шаблона документа в MS Word;Технические вопросы и настройки
Загрузка шаблона документа;Технические вопросы и настройки
Проверка шаблона;Технические вопросы и настройки
Публикация закупки от имени Заказчика Уполномоченным органом;Технические вопросы и настройки
Массовое удаление или отправка в архив оферт;Технические вопросы и настройки
Прикрепление проекта контракта к одной или нескольким офертам;Технические вопросы и настройки
Регистрация и формирование документов;Технические вопросы и настройки
Заполнение формы жалобы о необоснованной блокировке;Технические вопросы и настройки
Получение решения арбитражной комиссии по жалобе;Технические вопросы и настройки
Создание и публикация оферты по результатам котировочнойсессии;Технические вопросы и настройки
Просмотр и поиск документов в разделе 'Мои документы';Технические вопросы и настройки
Создание заявки на прямую закупку;Технические вопросы и настройки
Выгрузка протокола по потребности;Технические вопросы и настройки
Dобавление файла с техническим заданием в карточку котировочной сессии;Технические вопросы и настройки
Поиск закупок в едином реестре;Технические вопросы и настройки
Подписки на закупки;Технические вопросы и настройки
Создание нового документа;Технические вопросы и настройки
Редактирование документа;Технические вопросы и настройки
Удаление документа;Технические вопросы и настройки
Отображение результатов поиска планов и планов-графиков закупок;Технические вопросы и настройки
Поиск контрактов в реестре;Технические вопросы и настройки
Регистрация и формирование документов;Технические вопросы и настройки
Уведомления о наступающих сроках исполнения этапа;Технические вопросы и настройки
Импорт сведений об организациях с помощью сервиса;Технические вопросы и настройки
Массовый импорт прайс-листа в формате YML в личном кабинете Поставщика;Технические вопросы и настройки
Подключение электронной подписи;Технические вопросы и настройки
Доработка УПД после отправки по замечаниям и ошибкам;Технические вопросы и настройки
Заказчик не видит УПД;Технические вопросы и настройки
Как найти необходимую потребность на Портале Поставщиков?;Технические вопросы и настройки
Как поменять КПГЗ в оферте;Технические вопросы и настройки
Как изменить сведения о компании?;Технические вопросы и настройки
Как изменить наименование организации на Портале поставщиков?;Технические вопросы и настройки
Как изменить контактную информацию организации на Портале поставщиков?;Технические вопросы и настройки
Как изменить банковские реквизиты организации на Портале поставщиков?;Технические вопросы и настройки
Как добавить банковский счет в банковских реквизитах организации на Портале поставщиков?;Технические вопросы и настройки
Как при формировании УПД изменить наименование товара?;Технические вопросы и настройки
Как при формировании УПД изменить наименование услуги/ работы?;Технические вопросы и настройки
Как изменить юридической адрес организации на Портале поставщиков?;Технические вопросы и настройки
Как проверить статус заявки на регистрацию/изменение данных компании на Портале поставщиков?;Технические вопросы и настройки
Как проверить причину отклонения заявки на регистрацию/изменение данных компании на Портале поставщиков?;Технические вопросы и настройки
Заявка на регистрацию/ изменение данных компании на Портале поставщиков находится в статусе «Отправляется» более суток;Технические вопросы и настройки
Как найти оферту по номеру?;Технические вопросы и настройки
Как выбрать другого поставщика по закупки по потребности, если поставщик отказался от заключения контракта?;Технические вопросы и настройки
Что делать, если уже более суток заявка на регистрацию/изменение данных организации на Портале поставщиков находится в статусе «Отправляется»?;Технические вопросы и настройки
Как проверить причину отклонения заявки на регистрацию/изменение данных пользователя на Портале поставщиков?;Технические вопросы и настройки
Почему на Портале поставщиков не появился контракт из региональной системы.;Технические вопросы и настройки
Почему неактивны поля при заполнении заявки на регистрацию компании на Портале поставщиков?;Технические вопросы и настройки
Как скопировать оферту?;Технические вопросы и настройки
Как указать НДС, если мы работаем без НДС;Технические вопросы и настройки
Заказчик не видит УПД;Технические вопросы и настройки
Заявка отклонена с причиной «Предложена другая СТЕ»?;Технические вопросы и настройки
Как поменять КПГЗ в оферте?;Технические вопросы и настройки
Как изменить сведения о компании?;Технические вопросы и настройки
Как изменить наименование организации на Портале поставщиков?;Технические вопросы и настройки
Как изменить контактную информацию организации на Портале поставщиков?;Технические вопросы и настройки
Как изменить банковские реквизиты организации на Портале поставщиков?;Технические вопросы и настройки
Как добавить банковский счет в банковских реквизитах организации на Портале поставщиков?;Технические вопросы и настройки
Как перевести УПД в статус редактирования по контракту, имеющему электронное исполнение через оператора ЭДО Калуга Астрал?;Технические вопросы и настройки
Как при формировании УПД по контракту, имеющему электронное исполнение через оператора ЭДО Калуга Астрал, изменить наименование товара?;Технические вопросы и настройки
Наименование закупочной продукции в исполнении контракта не соответствует наименованию продукции в контракте;Технические вопросы и настройки
Как на Портале поставщиков пользователю установить параметр «Счет используется в контрактной системе» в банковских реквизитах?;Технические вопросы и настройки
Как изменить адрес организации на Портале поставщиков?;Технические вопросы и настройки
Как проверить статус заявки на регистрацию/изменение данных компании на Портале поставщиков?;Технические вопросы и настройки
Поиск оферты по номеру;Технические вопросы и настройки
Как производителю разместить товар в каталоге предложений?;Технические вопросы и настройки
Как создать заявку на СТЕ без ценового предложения?;Технические вопросы и настройки
Как обсудить детали по совместной котировочной сессии?;Технические вопросы и настройки
Как сформировать УПД по товарам с разными номерами таможенной декларации?;Технические вопросы и настройки
Создание обращения в службу технической поддержки;Технические вопросы и настройки
Как указать несколько регионов при создании СТЕ;Технические вопросы и настройки
Как сформировать УПД по товарам с разными номерами таможенной декларации?;Технические вопросы и настройки
Автоставки;Технические вопросы и настройки
Внесение изменений в отправленный, но ещё не подписанный документ исполнения;Технические вопросы и настройки
Удаление исполнения по контрактам, исполняющимся электронно через ЕИС;Технические вопросы и настройки
Ответ на уведомление об уточнении - создание исправительного УПД в исполнении через ЕИС;Технические вопросы и настройки
Заключенный контракт не отображается в личном кабинете поставщика;Технические вопросы и настройки
Можно ли изменить номер контракта в карточке контракта?;Технические вопросы и настройки
Почему не получается скачать документ контракта/подписанный документ контракта?;Технические вопросы и настройки
Карта сайта;Технические вопросы и настройки
Заказчику не приходит УПД;Технические вопросы и настройки
Как направить УПД заказчику повторно;Технические вопросы и настройки
Как прикрепить электронную подпись?;Технические вопросы и настройки
Как сформировать счет при электронном документообороте;Технические вопросы и настройки
Создание дополнительного соглашения.;Технические вопросы и настройки
При заполнении заявки на регистрацию отсутствует поле 'Контактный телефон';Технические вопросы и настройки
Как удалить УПД по контракту, электронно исполняемому через оператора ЭДО Калуга Астрал?;Технические вопросы и настройки
Как в исполнениях контрактов, электронно актируемых через ГИС ЕИС, заполнить сведения о лекарственном препарате;Технические вопросы и настройки
Какие действия необходимо выполнить при запросе 2 xml и ИдТрПакет от службы технической поддержки ГИС ЕИС;Технические вопросы и настройки
Как в исполнении контрактов, электронно актируемых через ГИС ЕИС, вернуть УПД в черновик;Технические вопросы и настройки
Что делать, если в течение продолжительного времени не отображается страница потребности/происходит загрузка страницы?;Технические вопросы и настройки
Как изменить электронную подпись;Технические вопросы и настройки
Форма «Выбор ОКОПФ»;Технические вопросы и настройки
Форма «Подтверждения перехода к регистрации профиля» для ИП;Технические вопросы и настройки
Форма «Выбор действий пользователя физического лица»;Технические вопросы и настройки
Присоединится к бюджетной организации;Технические вопросы и настройки
Присоединится к ИП;Технические вопросы и настройки
Некорректно указана дата заключения контракта.;Технические вопросы и настройки
Контракт подписан, но в региональной системе не отображен;Технические вопросы и настройки
Что делать, если не отображаются подписи в заключенном контракте?;Технические вопросы и настройки
Как понять была ли совершена ставка от организации?;Технические вопросы и настройки
Почему нет возможности выбора необходимого количества продукции при формировании УПД по контракту, имеющему электронное исполнение через оператора ЭДО Калуга Астрал?;Технические вопросы и настройки
Какие оферты отображаются у заказчика, работающего через Портал поставщиков?;Технические вопросы и настройки
Почему у заказчика не отображаются оферта по результатам котировочной сессии?;Технические вопросы и настройки
Как распечатать сведения об оферте?;Технические вопросы и настройки
Как в УПД по контракту, имеющему электронное исполнение через ГИС ЕИС, заполнить строку 5а?;Технические вопросы и настройки
Как обновить сведения о подписантах в Исполнении контрактов, электронно актируемых через ЕИС;Технические вопросы и настройки
Требования к рабочему месту пользователя уполномоченного органа;Технические вопросы и настройки
Требования к программному и техническому обеспечению и уровню подготовки пользователя;Технические вопросы и настройки
Как загрузить МЧД в профиль пользователя?;Технические вопросы и настройки
Какого формата должна быть МЧД?;Технические вопросы и настройки
Не сформировался контракт после подписания оферты по результатам котировочной сессии;Технические вопросы и настройки
Как исправить НДС в оферте, созданной по результатам котировочной сессии?;Технические вопросы и настройки
У заказчика не отображается оферта, созданная по результатам котировочной сессии;Технические вопросы и настройки
Почему неактивны поля при заполнении заявки?;Технические вопросы и настройки
Как на Портале поставщиков можно найти и посмотреть информацию по заказчикам?;Технические вопросы и настройки
Где и как формировать МЧД для сотрудника?;Технические вопросы и настройки
удалить этот черновик - нет изменений;Технические вопросы и настройки
Nекорректно указана дата окончания действия контракта;Технические вопросы и настройки
Некорректно отображается основание заключения контракта;Технические вопросы и настройки
Неверный статус контракта;Технические вопросы и настройки
Как изменить наименование оферты?;Технические вопросы и настройки
Как подписать оферту?;Технические вопросы и настройки
Как изменить характеристики в стандартной товарной единице?;Технические вопросы и настройки
Не присвоен оферте реестровый номер;Технические вопросы и настройки
Как подать ценовое предложение?;Технические вопросы и настройки
Удаление оферты;Технические вопросы и настройки
Архивирование оферты;Технические вопросы и настройки
Как изменить электронную подпись;Технические вопросы и настройки
Как регистрировать филиалы, представительства и иные обособленные подразделения?;Технические вопросы и настройки
Как прикрепить или изменить электронную подпись?;Технические вопросы и настройки
Как удалить электронную подпись?;Технические вопросы и настройки
Как произвести настройку плагина КРИПТОПРО?;Технические вопросы и настройки
При заполнении заявки на регистрацию пользователя отсутствует поле 'Контактный телефон';Технические вопросы и настройки
Почему появляется капча?;Технические вопросы и настройки
Как загрузить МЧД в профиль пользователя?;Технические вопросы и настройки
Как узнать, заблокирован ли поставщик на Портале поставщиков?;Технические вопросы и настройки
Как в банковских реквизитах установить параметр «Счет используется в контрактной системе»?;Технические вопросы и настройки
Как создать закупку из корзины?;Технические вопросы и настройки
Как посмотреть полный текст уведомления?;Технические вопросы и настройки
Могут ли пользователи Портала поставщиков посмотреть данные об участниках котировочной сессии?;Технические вопросы и настройки
Почему не получается сделать ставку в активной котировочной сессии?;Технические вопросы и настройки
Можно ли отменить ставку в активной котировочной сессии?;Технические вопросы и настройки
Как включить функциональность «Автоторг»?;Технические вопросы и настройки
Что означает статус в котировочной сессии «Идет обработка ставок. Возможна переторжка»?;Технические вопросы и настройки
Почему статус котировочной сессии “Снята с публикации”?;Технические вопросы и настройки
Почему статус котировочной сессии изменился на «Не состоялась»?;Технические вопросы и настройки
Почему не отображается страница активной котировочной сессии?;Технические вопросы и настройки
Оферты подписаны, но проект контракта не поступил в личный кабинет поставщику. Что делать?;Технические вопросы и настройки
Не получается подать оферту (ценовое предложение) в закупке по потребностям;Технические вопросы и настройки
Почему при подачи ценового предложения в закупке по потребности перебрасывает на другой сайт?;Технические вопросы и настройки
Как удалить, заблокировать или разблокировать пользователя на Портале поставщиков?;Технические вопросы и настройки
Как сформировать счет при электронном документообороте;Технические вопросы и настройки
Действия поставщика после отправки приглашения заказчику на установку связи по ЭДО;Технические вопросы и настройки
Необходимо ли регистрироваться в ЭДО для исполнения последующих контрактов?;Справочная информация и поддержка
Заказчик не зарегистрирован в системе ЭДО;Справочная информация и поддержка
Я зарегистрирован в ЭДО?;Технические вопросы и настройки
Заказчик не видит приглашениепо установлению связи в ЭДО;Технические вопросы и настройки
Заказчик не видит приглашение по установке связи в ЭДО;Технические вопросы и настройки
Заказчик не видит приглашение по установке связи в ЭДО;Технические вопросы и настройки
